"功能分類","資料表","資料表名稱","欄位","欄位名稱"
"管理員與權限","admin_activity_logs","後台活動紀錄","action","操作名稱"
"管理員與權限","admin_activity_logs","後台活動紀錄","actor_user_id","操作者會員 ID"
"管理員與權限","admin_activity_logs","後台活動紀錄","commit_sha","Git 提交代碼"
"管理員與權限","admin_activity_logs","後台活動紀錄","completed_at","完成時間"
"管理員與權限","admin_activity_logs","後台活動紀錄","created_at","建立時間"
"管理員與權限","admin_activity_logs","後台活動紀錄","details","詳細資料"
"管理員與權限","admin_activity_logs","後台活動紀錄","entity_id","資料 ID"
"管理員與權限","admin_activity_logs","後台活動紀錄","entity_type","資料類型"
"管理員與權限","admin_activity_logs","後台活動紀錄","id","資料 ID"
"管理員與權限","admin_activity_logs","後台活動紀錄","record_type","紀錄類型"
"管理員與權限","admin_activity_logs","後台活動紀錄","route","路由"
"管理員與權限","admin_activity_logs","後台活動紀錄","status","狀態"
"管理員與權限","admin_activity_logs","後台活動紀錄","summary","摘要"
"管理員與權限","admin_activity_logs","後台活動紀錄","version_label","版本標籤"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","action","操作名稱"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","admin_id","管理員 ID"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","created_at","建立時間"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","entity_id","資料 ID"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","entity_table","資料表"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","id","資料 ID"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","ip_address","IP 位址"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","metadata","中繼資料"
"管理員與權限","admin_audit_logs","管理員稽核紀錄","user_agent","使用者代理"
"管理員與權限","admin_roles","管理員角色關聯","admin_id","管理員 ID"
"管理員與權限","admin_roles","管理員角色關聯","role_id","角色 ID"
"管理員與權限","admins","管理員","auth_user_id","Auth 使用者 ID"
"管理員與權限","admins","管理員","avatar_url","頭像網址"
"管理員與權限","admins","管理員","created_at","建立時間"
"管理員與權限","admins","管理員","email","電子郵件"
"管理員與權限","admins","管理員","id","資料 ID"
"管理員與權限","admins","管理員","is_active","是否啟用"
"管理員與權限","admins","管理員","last_login_at","最後登入時間"
"管理員與權限","admins","管理員","login_method","登入方式"
"管理員與權限","admins","管理員","name","名稱"
"管理員與權限","admins","管理員","password_hash","密碼雜湊"
"管理員與權限","admins","管理員","updated_at","更新時間"
"管理員與權限","admins","管理員","username","帳號"
"發票物流與售後","after_sales_requests","售後申請","created_at","建立時間"
"發票物流與售後","after_sales_requests","售後申請","id","資料 ID"
"發票物流與售後","after_sales_requests","售後申請","message","訊息內容"
"發票物流與售後","after_sales_requests","售後申請","order_id","訂單 ID"
